Task ID,Task Link,Task Type,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Subtasks IDs,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text,Home Location ID,Home Location,Other Location IDs,Other Locations
wdy2xgwp2n,https://app.clickup.com/t/wdy2xgwp2n,"Task","Update House of Quality","Make sure the House of Quality reflects the final requirements baseline and selected customer needs.",to do,1784737270963,"7/22/2026, 12:21:10 PM EDT",1784880000000,"7/24/2026, 4:00:00 AM EDT",,"",null,"","[]","[Teesitin,Kenn Pickavance]","[]",2,"Chapter 1: Project Description","[""Final Report""]","Senior Design","","","{}","[]","0", "",,NaN,,"1000490000005979","Senior Design > Final Report > Chapter 1: Project Description","",""
wdy2xgwp2k,https://app.clickup.com/t/wdy2xgwp2k,"Task","Add customer and reviewer input","Document customer, reviewer, or market feedback and explain how it affected selected project features.",to do,1784737267007,"7/22/2026, 12:21:07 PM EDT",1784880000000,"7/24/2026, 4:00:00 AM EDT",,"",null,"","[]","[Kenn Pickavance]","[]",2,"Chapter 1: Project Description","[""Final Report""]","Senior Design","","","{}","[]","0", "",,NaN,,"1000490000005979","Senior Design > Final Report > Chapter 1: Project Description","",""
wdy2xgwp2m,https://app.clickup.com/t/wdy2xgwp2m,"Task","Update system and mobile-app description","Explain standalone target operation, the companion app, BLE communication, local storage, analytics, and the relationship between hardware and software.",to do,1784737268966,"7/22/2026, 12:21:08 PM EDT",1784880000000,"7/24/2026, 4:00:00 AM EDT",,"",null,"","[]","[Teesitin]","[]",2,"Chapter 1: Project Description","[""Final Report""]","Senior Design","","","{}","[]","0", "",,NaN,,"1000490000005979","Senior Design > Final Report > Chapter 1: Project Description","",""
wdy2xgwp2h,https://app.clickup.com/t/wdy2xgwp2h,"Task","Expand existing products and market comparison","Compare at least three commercial laser-training products. Include detection method, price, required equipment, app dependence, subscription requirements, training modes, strengths, and weaknesses. Explain which customer needs PrecisionShot addresses.",to do,1784737263987,"7/22/2026, 12:21:03 PM EDT",1784880000000,"7/24/2026, 4:00:00 AM EDT",,"",null,"","[]","[Kenn Pickavance]","[]",2,"Chapter 1: Project Description","[""Final Report""]","Senior Design","","","{}","[]","0", "",,NaN,,"1000490000005979","Senior Design > Final Report > Chapter 1: Project Description","",""
wdy2xgwp2j,https://app.clickup.com/t/wdy2xgwp2j,"Task","Finalize goals and objectives","Separate all goals and objectives into Basic, Advanced, and Stretch levels. Remove conflicting or speculative goals.",to do,1784737265923,"7/22/2026, 12:21:05 PM EDT",1784880000000,"7/24/2026, 4:00:00 AM EDT",,"",null,"","[]","[Kenn Pickavance]","[]",1,"Chapter 1: Project Description","[""Final Report""]","Senior Design","","","{}","[]","0", "",,NaN,,"1000490000005979","Senior Design > Final Report > Chapter 1: Project Description","",""
wdy2xgwp2p,https://app.clickup.com/t/wdy2xgwp2p,"Task","Update overall hardware and software block diagrams","Show inputs, outputs, power paths, wired paths, wireless paths, team ownership colors, and current status of every system block.",to do,1784737273347,"7/22/2026, 12:21:13 PM EDT",1784880000000,"7/24/2026, 4:00:00 AM EDT",,"",null,"","[]","[Teesitin,Anthony F,Kenn Pickavance,Nick Koteff]","[]",2,"Chapter 1: Project Description","[""Final Report""]","Senior Design","","","{}","[]","0", "",,NaN,,"1000490000005979","Senior Design > Final Report > Chapter 1: Project Description","",""
wdy2xgwp2t,https://app.clickup.com/t/wdy2xgwp2t,"Task","Create final component-level specification table","Add quantitative requirements for sensors, MUX system, MCU, display, LEDs, power system, enclosure, BLE, app, and storage.",to do,1784737279953,"7/22/2026, 12:21:19 PM EDT",1784880000000,"7/24/2026, 4:00:00 AM EDT",,"",null,"","[]","[Teesitin,Anthony F,Nick Koteff]","[]",1,"Chapter 2: Engineering Specifications","[""Final Report""]","Senior Design","","","{}","[]","0", "",,NaN,,"1000490000005980","Senior Design > Final Report > Chapter 2: Engineering Specifications","",""
wdy2xgwp2r,https://app.clickup.com/t/wdy2xgwp2r,"Task","Create final system-level specification table","Create quantitative system requirements with unique IDs such as SYS-01, SYS-02, and COM-01.",to do,1784737277622,"7/22/2026, 12:21:17 PM EDT",1784880000000,"7/24/2026, 4:00:00 AM EDT",,"",null,"","[]","[Kenn Pickavance]","[]",1,"Chapter 2: Engineering Specifications","[""Final Report""]","Senior Design","","","{}","[]","0", "",,NaN,,"1000490000005980","Senior Design > Final Report > Chapter 2: Engineering Specifications","",""
wdy2xgwp2v,https://app.clickup.com/t/wdy2xgwp2v,"Task","Create requirements traceability matrix","Create a table linking every requirement ID to its design section, implementation method, verification test, target value, and eventual result.",to do,1784737282806,"7/22/2026, 12:21:22 PM EDT",1784880000000,"7/24/2026, 4:00:00 AM EDT",,"",null,"","[]","[Teesitin,Anthony F,Kenn Pickavance]","[]",1,"Chapter 2: Engineering Specifications","[""Final Report""]","Senior Design","","","{}","[]","0", "",,NaN,,"1000490000005980","Senior Design > Final Report > Chapter 2: Engineering Specifications","",""
wdy2xgwp2q,https://app.clickup.com/t/wdy2xgwp2q,"Task","Resolve conflicting system requirements","Choose one final target for LED response time instead of 10 ms versus 100 ms. Choose one final shot-location accuracy target instead of 0.1 cm versus 1.5 cm. Decide whether operation is primarily indoor or fully indoor/outdoor.",to do,1784737275738,"7/22/2026, 12:21:15 PM EDT",1784793600000,"7/23/2026, 4:00:00 AM EDT",,"",null,"","[]","[Teesitin,Anthony F,Kenn Pickavance,Nick Koteff]","[]",1,"Chapter 2: Engineering Specifications","[""Final Report""]","Senior Design","","","{}","[]","0", "",,NaN,,"1000490000005980","Senior Design > Final Report > Chapter 2: Engineering Specifications","",""
